id,client_name,total_invoices,total_invoiced,total_paid,average_days_to_pay,late_invoices_count,late_invoices_percentage,outstanding_invoices,outstanding_amount,monthly_data,payment_status_breakdown
ca8b7b7b-acc0-4bd6-a039-46e6c89f8e73,1,115,30077153.9,29533057.6,93.98260869565217,102,88.69565217391305,6,544096.3,"{""monthly_invoiced"": {""2018-03"": 580549.48, ""2018-05"": 727760.7100000001, ""2018-06"": 354918.1, ""2018-07"": 995112.84, ""2018-09"": 468072.12, ""2018-11"": 330246.28, ""2019-01"": 1491623.93, ""2019-02"": 57977.590000000004, ""2019-04"": 75567.44, ""2019-05"": 212833.72999999998, ""2019-07"": 908150.22, ""2019-08"": 60401.71, ""2019-10"": 47239.799999999996, ""2019-11"": 373207.88, ""2019-12"": 504920.29, ""2022-01"": 571605.74, ""2022-02"": 982309.2100000001, ""2022-03"": 1927977.1400000001, ""2022-04"": 1353493.29, ""2022-05"": 877620.89, ""2022-06"": 1785717.64, ""2022-07"": 422106.26, ""2022-08"": 506162.84, ""2022-09"": 796325.0800000001, ""2022-10"": 1141462.8, ""2022-11"": 359566.01, ""2022-12"": 568525.51, ""2023-01"": 776978.75, ""2023-02"": 777633.58, ""2023-03"": 1231637.47, ""2023-04"": 1121888.46, ""2023-05"": 1155073.34, ""2023-06"": 1015114.75, ""2023-07"": 790922.6, ""2023-08"": 1199626.0, ""2023-09"": 1293383.55, ""2023-10"": 182622.49, ""2023-11"": 503724.14, ""2023-12"": 1179829.3, ""2024-02"": 367264.94}, ""monthly_paid"": {""2018-07"": 1308310.19, ""2018-08"": 710029.5, ""2018-10"": 285083.34, ""2019-01"": 1113202.39, ""2019-02"": 780210.42, ""2019-04"": 445194.64999999997, ""2019-07"": 339955.18, ""2019-08"": 239833.9, ""2019-09"": 221735.04, ""2019-12"": 545557.84, ""2020-03"": 552053.86, ""2020-05"": 504920.29, ""2022-03"": 1041800.98, ""2022-04"": 697705.3700000001, ""2022-05"": 404745.4, ""2022-06"": 772011.15, ""2022-07"": 2636818.7199999997, ""2022-09"": 776562.85, ""2022-10"": 1078746.1, ""2022-11"": 960591.13, ""2022-12"": 347125.87, ""2023-01"": 1176833.14, ""2023-02"": 985380.2799999999, ""2023-03"": 36633.88, ""2023-04"": 1425319.35, ""2023-06"": 1937863.04, ""2023-07"": 415662.89, ""2023-08"": 2170188.09, ""2023-09"": 790922.6, ""2023-10"": 68823.04, ""2023-11"": 2101128.2, ""2024-01"": 27843.52, ""2024-02"": 619146.22, ""2024-03"": 1179829.3, ""2024-04"": 468024.94, ""2024-05"": 367264.94}}","{""Fully Paid"": 109, ""Partially Paid"": 6}"
587fe36a-7bd6-4325-8e9c-359314b21644,2,1,15557.24,15557.24,144.0,1,100.0,0,0.0,"{""monthly_invoiced"": {""2014-11"": 15557.24}, ""monthly_paid"": {""2015-04"": 15557.24}}","{""Fully Paid"": 1}"
badd36db-684c-430e-b99b-1af252c48447,3,1,148081.97,148081.97,28.0,0,0.0,0,0.0,"{""monthly_invoiced"": {""2022-09"": 148081.97}, ""monthly_paid"": {""2022-10"": 148081.97}}","{""Fully Paid"": 1}"
50f03d01-6fd5-4634-9aaf-2f2ab9b1a410,4,30,777400.2400000002,683108.4300000003,223.33333333333334,27,90.0,4,94291.81,"{""monthly_invoiced"": {""2015-01"": 21834.81, ""2015-02"": 21834.81, ""2015-03"": 21834.81, ""2015-04"": 21834.81, ""2015-05"": 40111.33, ""2015-06"": 21834.81, ""2015-07"": 21834.81, ""2015-08"": 21834.81, ""2015-09"": 21834.81, ""2015-10"": 43669.62, ""2015-11"": 21834.81, ""2015-12"": 21834.81, ""2016-01"": 21834.81, ""2016-02"": 21834.81, ""2016-03"": 21834.81, ""2016-04"": 21834.81, ""2016-06"": 72457.01, ""2016-08"": 144914.02, ""2016-09"": 21834.81, ""2016-10"": 21834.81, ""2016-11"": 21834.81, ""2016-12"": 21834.81, ""2017-01"": 12736.3, ""2017-02"": 12736.3, ""2017-03"": 12736.3, ""2017-05"": 32276.48, ""2017-06"": 12736.3}, ""monthly_paid"": {""2015-03"": 21834.81, ""2015-05"": 65504.43000000001, ""2016-04"": 132032.47, ""2017-03"": 241906.8, ""2017-06"": 221829.92}}","{""Fully Paid"": 26, ""Partially Paid"": 4}"
90374084-73e7-4819-9dcf-4cc41ca8d489,5,2,21662.94,21662.94,11.0,0,0.0,0,0.0,"{""monthly_invoiced"": {""2018-01"": 21662.94}, ""monthly_paid"": {""2018-01"": 16473.16, ""2018-02"": 5189.78}}","{""Fully Paid"": 2}"
85558dd7-ca74-43af-827f-f209320b2c21,6,21,1909403.8000000003,1866343.7000000002,384.42857142857144,21,100.0,2,43060.1,"{""monthly_invoiced"": {""2015-01"": 108348.87, ""2015-02"": 125238.89, ""2015-03"": 149716.6, ""2015-04"": 265903.14, ""2015-05"": 327442.31, ""2015-06"": 367397.04, ""2015-08"": 212759.08, ""2016-03"": 15144.39, ""2016-05"": 83514.83, ""2016-06"": 52687.84, ""2016-07"": 83232.76, ""2016-09"": 118018.05}, ""monthly_paid"": {""2015-03"": 108348.87, ""2015-05"": 125238.89, ""2016-01"": 467745.35, ""2016-03"": 855472.82, ""2016-07"": 15144.39, ""2018-07"": 294393.38}}","{""Fully Paid"": 19, ""Partially Paid"": 2}"
ece90ed0-50a4-4d27-bf65-5c71dd253373,7,5,438296.9,175318.76,27.0,0,0.0,4,262978.14,"{""monthly_invoiced"": {""2018-07"": 87659.38, ""2018-08"": 350637.52}, ""monthly_paid"": {""2018-08"": 87659.38, ""2018-09"": 87659.38}}","{""Partially Paid"": 4, ""Fully Paid"": 1}"
218226f5-b62f-41ee-8162-6728745eb9eb,8,1,54120.07,54120.07,0.0,0,0.0,0,0.0,"{""monthly_invoiced"": {""2015-12"": 54120.07}, ""monthly_paid"": {""2015-12"": 54120.07}}","{""Fully Paid"": 1}"
9ae91d59-d40c-4cc0-a6cb-13234d4fda01,9,57,1881384.24,1851097.0000000002,31.666666666666668,12,21.052631578947366,2,30287.24,"{""monthly_invoiced"": {""2022-04"": 97650.57, ""2022-09"": 90108.0, ""2022-10"": 128439.91999999998, ""2022-11"": 123764.83, ""2022-12"": 171094.39, ""2023-01"": 37103.78, ""2023-02"": 37103.78, ""2023-03"": 52277.71, ""2023-04"": 97026.34, ""2023-05"": 37103.78, ""2023-06"": 150586.13, ""2023-07"": 52277.71, ""2023-08"": 246570.03, ""2023-09"": 156629.47, ""2023-10"": 37103.78, ""2023-11"": 37103.78, ""2023-12"": 37103.78, ""2024-01"": 156629.47, ""2024-02"": 61499.43, ""2024-03"": 37103.78, ""2024-04"": 37103.78}, ""monthly_paid"": {""2022-04"": 56565.950000000004, ""2022-05"": 10797.38, ""2022-10"": 53004.22, ""2022-11"": 165543.69999999998, ""2022-12"": 123764.83, ""2023-01"": 171094.39, ""2023-02"": 37103.78, ""2023-03"": 37103.78, ""2023-04"": 52277.71, ""2023-05"": 97026.34, ""2023-07"": 187689.91, ""2023-08"": 52277.71, ""2023-09"": 246570.03, ""2023-10"": 156629.47, ""2023-11"": 37103.78, ""2023-12"": 37103.78, ""2024-02"": 119525.69, ""2024-05"": 209914.55}}","{""Fully Paid"": 55, ""Partially Paid"": 2}"
3f19cb60-4a5a-48a2-bff2-55d5f90b3d24,10,23,1808819.36,1590965.16,311.1304347826087,23,100.0,5,217854.19999999998,"{""monthly_invoiced"": {""2014-09"": 49640.59, ""2014-12"": 357845.57, ""2015-01"": 317135.39, ""2015-03"": 203711.7, ""2015-04"": 177628.16, ""2015-06"": 226297.54, ""2015-07"": 113148.77, ""2015-08"": 113148.77, ""2015-10"": 75505.23, ""2015-12"": 113148.77, ""2016-02"": 40989.94, ""2016-04"": 20618.93}, ""monthly_paid"": {""2015-02"": 81917.06999999999, ""2015-06"": 138063.62, ""2015-09"": 551129.55, ""2015-11"": 226297.54, ""2016-05"": 261377.44, ""2016-07"": 90397.41, ""2016-08"": 67024.89, ""2016-11"": 113148.77, ""2017-12"": 61608.87}}","{""Fully Paid"": 18, ""Partially Paid"": 5}"
