id,client_name,month,invoiced_amount,paid_amount
34e705f5-8252-4d89-9e2a-b5ebe006d94c,1,2018-03,580549.48,580549.48
592a5f9b-b85d-41e7-934b-d1f350e199b4,1,2018-05,727760.7100000001,727760.7100000001
2dcf0588-cb5e-43c4-bd70-70bb6465c99a,1,2018-06,354918.1,354918.1
37900deb-8e9d-4822-9d2c-162c172b9f3c,1,2018-07,995112.84,995112.84
fb0c5a6d-4e02-43f8-ac40-ebb31d3d7974,1,2018-09,468072.12,468072.12
6d3a97c9-9775-4587-ae1b-cce7b8cc7e22,1,2018-11,330246.28,290212.17
5e34eace-9e8e-40ea-a2a8-8f69de8e7c21,1,2019-01,1491623.93,1389162.52
56bc0f39-d6f9-489e-8b0a-d445c40766f0,1,2019-02,57977.590000000004,57977.590000000004
fc2b8d15-41f0-445a-a384-17db9ef08cb8,1,2019-04,75567.44,75567.44
3f6f6155-7d9a-4b47-86dc-952476188f51,1,2019-05,212833.72999999998,212833.72999999998
eb917d08-4024-4e02-9b41-c25e26732290,1,2019-07,908150.22,908150.22
5726b1f7-23df-49ef-a4e1-179c744b971a,1,2019-08,60401.71,60401.71
be4f1602-5f73-46c8-9458-d0981e044610,1,2019-10,47239.799999999996,47239.799999999996
e98a2a17-5913-4a97-95d9-993a3640a138,1,2019-11,373207.88,373207.88
29b3eda4-df2f-4382-b6a3-a49ad2391477,1,2019-12,504920.29,504920.29
45aff370-c14e-4df3-bd18-a3f7dced8f6f,1,2022-01,571605.74,571605.74
906d5f9f-b30b-4cd2-9b5f-5990b03bd7f0,1,2022-02,982309.2100000001,580708.43
1e3e8761-da8d-4648-b0a4-e215e70f9afb,1,2022-03,1927977.1400000001,1927977.1400000001
f9ea8cbf-f3a1-475c-aee2-6162e56bd812,1,2022-04,1353493.29,1353493.29
d77d9d59-254d-4321-9b03-145ecafb0b23,1,2022-05,877620.89,877620.89
5df7492e-1906-4be1-bf13-6e92531f14f2,1,2022-06,1785717.64,1785717.64
5e0192e5-caf0-43bf-b022-74870e52902a,1,2022-07,422106.26,422106.26
e0ab466b-bff3-4471-a1de-47baeb2773dd,1,2022-08,506162.84,506162.84
d409d061-191f-4c68-8936-4482124bf63f,1,2022-09,796325.0800000001,796325.0800000001
163bdb88-1cfc-49d4-88da-f21b6aa5e6cd,1,2022-10,1141462.8,1141462.8
d644e647-ebba-42aa-a039-37970878cdd8,1,2022-11,359566.01,359566.01
da837154-d63e-4c8c-a498-03514f033e34,1,2022-12,568525.51,568525.51
5049d6f1-6868-4193-af15-48fd07396065,1,2023-01,776978.75,776978.75
c0ca888a-69f2-4b57-b0d0-5dae5e22ce94,1,2023-02,777633.58,777633.58
d728af32-2a29-4dad-85c1-b4c3459a027d,1,2023-03,1231637.47,1231637.47
6c1bc2ac-edb8-4ac1-ab0b-09ff2dc60ef9,1,2023-04,1121888.46,1121888.46
645e192c-5236-4e74-9cf9-7c6e17df7366,1,2023-05,1155073.34,1155073.34
d9a41b95-a28c-4460-8232-9660ff3db744,1,2023-06,1015114.75,1015114.75
1593b451-1a26-42ff-80ab-0a496a65db18,1,2023-07,790922.6,790922.6
5676bd32-cbde-41c1-935c-27849095813f,1,2023-08,1199626.0,1199626.0
08b5356f-80b6-462c-9938-e4db28fa48fe,1,2023-09,1293383.55,1293383.55
4c138888-9e68-4c79-b500-505846515422,1,2023-10,182622.49,182622.49
868c61c4-f62b-451b-996d-98faa7ae93e6,1,2023-11,503724.14,503724.14
630aabaa-8fc7-4cbf-b18f-97d464dcca53,1,2023-12,1179829.3,1179829.3
18542967-47f5-474a-b21c-0952753659cd,1,2024-02,367264.94,367264.94
06bbed24-1f89-4965-9324-82e4bc11961f,2,2014-11,15557.24,15557.24
0a62c64c-f69a-4c81-9159-3a027e348db4,3,2022-09,148081.97,148081.97
8376bcda-8447-4814-8dfe-732889acd4d8,4,2015-01,21834.81,21834.81
d5050193-c908-4677-bece-20855222da7d,4,2015-02,21834.81,21834.81
1e069386-f519-4115-8b3f-836bbfa86b0f,4,2015-03,21834.81,21834.81
566e6e83-4010-40af-84a0-7bfa024fed3f,4,2015-04,21834.81,21834.81
bdee5237-226d-4225-961f-a63480371c74,4,2015-05,40111.33,40111.33
14893636-0507-4472-a7aa-885ebf36a08f,4,2015-06,21834.81,21834.81
401f9b9e-b295-4629-9249-0d2b8d239a83,4,2015-07,21834.81,21834.81
311b74db-d08c-4495-ab4f-88403a40a35d,4,2015-08,21834.81,21834.81
4faa3088-4649-4737-bdd2-77e0434453b1,4,2015-09,21834.81,21834.81
b2319107-af7d-4e63-93cd-cef32404c119,4,2015-10,43669.62,21834.809999999998
dd008a53-4c8b-4405-bf5c-7496660d61af,4,2015-11,21834.81,21834.81
00db9f55-87b5-486d-8637-bda411d41ee2,4,2015-12,21834.81,21834.81
fa8025ff-31f9-4db6-b4cb-c54cd58de84f,4,2016-01,21834.81,21834.81
f49b55eb-6ae6-4166-a308-af86113a600e,4,2016-02,21834.81,21834.81
e5994afe-8f66-40f9-a55a-9e61e5b7a5b7,4,2016-03,21834.81,21834.81
a41c35ac-191f-4f26-b5fa-c3217bc8e768,4,2016-04,21834.81,21834.81
acad2dce-dd23-4605-b5f8-3a6a8d48908a,4,2016-06,72457.01,72457.01
8808298e-003e-4e61-8dd5-7d0203a3e622,4,2016-08,144914.02,72457.02
f0c09f3d-8521-43e1-8805-494d6d7e7c52,4,2016-09,21834.81,21834.81
68bc4710-42ec-429b-b560-b8fcb0875734,4,2016-10,21834.81,21834.81
dc0002e8-6ef6-43be-9d64-47f54be8d711,4,2016-11,21834.81,21834.81
c86b0987-c2da-4d9d-a96b-421815ea5088,4,2016-12,21834.81,21834.81
14d344f4-1920-4323-9efa-c5a04df29cf7,4,2017-01,12736.3,12736.3
594b1939-067e-4fc2-884c-3bf0e6823b7a,4,2017-02,12736.3,12736.3
85d76868-65a7-4a13-85c3-ac184097a8db,4,2017-03,12736.3,12736.3
fde46aec-7d74-4dd7-8ad8-161e204c947c,4,2017-05,32276.48,32276.48
24249bc6-3753-460b-bed8-6e7e4de856d4,4,2017-06,12736.3,12736.3
fb4e1ac8-b317-442d-8c8f-5c441d023f20,5,2018-01,21662.94,21662.94
a5d76ca6-43ff-405d-85d0-5ee3f14b446c,6,2015-01,108348.87,108348.87
17e32ad6-02a6-4313-ba14-8a82bbd24b2b,6,2015-02,125238.89,125238.89
